Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-28JUN24-32000-P,6.1,479.9,,-1.72789,-6.78094,9.68451,-,,-0.0166,0.0024,5,79.05,0.002,0.0021,0.0023,80.85,5.1
BTC-28JUN24-33000-C,-,263,,49.42343,-7.2816,10.70446,-,,0.98134,0.511,5,-,0.4445,0.4469,0.449,85.98,5
BTC-28JUN24-33000-P,6.1,263.4,,-1.93941,-7.2816,10.70446,-,,-0.01866,0.0027,0.8,76.71,0.0022,0.0023,0.0025,78.36,3
BTC-28JUN24-34000-C,-,150.1,,50.66916,-8.08758,12.14595,-,,0.97834,0.5425,5,44.28,0.428,0.4304,0.4325,83.38,5
BTC-28JUN24-34000-P,2.9,196.6,,-2.25013,-8.08758,12.14595,-,,-0.02166,0.0029,4.8,74.84,0.0025,0.0027,0.0029,76.78,9
BTC-28JUN24-35000-C,-,1518,,51.89161,-8.88295,13.6544,-,,0.97511,0.4015,4.8,54.15,0.4115,0.414,0.4165,82.37,4.8
BTC-28JUN24-35000-P,0.8,563.3,,-2.58413,-8.88295,13.6544,-,,-0.02489,0.0043,4.8,73.29,0.0029,0.0031,0.0033,75.01,6.9
BTC-28JUN24-36000-C,-,146.3,,53.05094,-9.79691,15.39004,-,,0.97128,0.5015,4.6,60.36,0.3955,0.3976,0.4,79.6,4.6
BTC-28JUN24-36000-P,8,193,,-2.98125,-9.79691,15.39004,-,,-0.02872,0.005,4.8,71.93,0.0034,0.0035,0.0037,73.08,2.9
BTC-28JUN24-37000-C,2.5,163,,54.14946,-10.79707,17.32494,-,,0.96686,0.3705,4.4,59.58,0.379,0.3813,0.384,78.18,4.4
BTC-28JUN24-37000-P,8.9,267.4,,-3.43918,-10.79707,17.32494,-,,-0.03314,0.005,4.8,70.35,0.0039,0.004,0.0043,71.71,6.8
BTC-28JUN24-38000-C,4,127.7,,55.17504,-11.89945,19.48806,0.00001,,0.96174,0.354,4.3,60.86,0.363,0.3651,0.3675,75.32,4.3
BTC-28JUN24-38000-P,4.3,274.4,,-3.97005,-11.89945,19.48806,0.00001,,-0.03826,0.006,4.8,68.9,0.0045,0.0047,0.0049,70.11,6.8
BTC-28JUN24-39000-C,-,167.3,,56.08701,-13.20224,22.00539,0.00001,,0.95556,0.4632,4,59.15,0.3465,0.3491,0.3515,73.61,4
BTC-28JUN24-39000-P,8.1,125.9,,-4.61453,-13.20224,22.00539,0.00001,,-0.04444,0.007,27,66.96,0.005,0.0055,0.006,69.65,44.9
BTC-28JUN24-40000-C,-,857.4,,56.97313,-14.40616,24.53163,0.00001,,0.9491,0.3465,4.9,59.03,0.3305,0.333,0.335,70.69,1
BTC-28JUN24-40000-P,5.3,845.9,,-5.28486,-14.40616,24.53163,0.00001,,-0.0509,0.008,25,66.18,0.006,0.0062,0.0065,67.38,4
BTC-28JUN24-41000-C,-,93.6,,57.6853,-15.92344,27.56045,0.00001,,0.94102,0.461,1,61.04,0.3155,0.3172,0.3195,69.75,1
BTC-28JUN24-41000-P,4.7,136.1,,-6.12914,-15.92344,27.56045,0.00001,,-0.05898,0.0105,25.3,65.05,0.007,0.0073,0.0075,66.13,18
BTC-28JUN24-42000-C,-,361.4,,58.30472,-17.47479,30.76803,0.00001,,0.93206,0.2885,1,60.81,0.3,0.3016,0.304,68.52,1
BTC-28JUN24-42000-P,10.3,460.3,,-7.06617,-17.47479,30.76803,0.00001,,-0.06794,0.0105,47.5,63.67,0.008,0.0085,0.009,65.59,33.3
BTC-28JUN24-43000-C,-,56,,58.77221,-19.18738,34.3029,0.00001,,0.92169,0.3845,1,60.11,0.2845,0.2862,0.2885,67.04,1
BTC-28JUN24-43000-P,0.1,137,,-8.15513,-19.18738,34.3029,0.00001,,-0.07831,0.0145,30.5,62.96,0.0095,0.0099,0.0105,64.68,56.2
BTC-28JUN24-44000-C,-,203,,59.13096,-20.90517,37.98884,0.00001,,0.91029,0.3265,4.3,58.2,0.2685,0.2709,0.273,65.37,1
BTC-28JUN24-44000-P,1.7,171.2,,-9.35283,-20.90517,37.98884,0.00001,,-0.08971,0.0155,44,61.92,0.011,0.0114,0.012,63.47,31.9
BTC-28JUN24-45000-C,1.6,1591.5,,59.28332,-22.83844,42.04769,0.00001,,0.897,0.244,1,59.26,0.2545,0.2559,0.258,64.21,1
BTC-28JUN24-45000-P,19.7,1192.9,,-10.75692,-22.83844,42.04769,0.00001,,-0.103,0.013,25,61.32,0.013,0.0133,0.014,62.72,51.3
BTC-28JUN24-46000-C,-,131,,59.30807,-24.74273,46.20624,0.00001,,0.88253,0.324,4,57.59,0.239,0.2412,0.2435,63.42,1
BTC-28JUN24-46000-P,20,255.2,,-12.28862,-24.74273,46.20624,0.00001,,-0.11747,0.019,36.7,60.37,0.015,0.0154,0.016,61.65,31.9
BTC-28JUN24-47000-C,2,310,,59.12178,-26.78061,50.61076,0.00002,,0.86617,0.2165,1,58.22,0.2255,0.2269,0.229,62.32,1
BTC-28JUN24-47000-P,45.4,140.8,,-14.03135,-26.78061,50.61076,0.00002,,-0.13383,0.018,33.1,59.73,0.0175,0.0179,0.0185,60.9,29.3
BTC-28JUN24-48000-C,0.5,278.1,,58.72404,-28.90662,55.17735,0.00002,,0.84792,0.204,1,57.72,0.2115,0.2129,0.215,61.49,1
BTC-28JUN24-48000-P,13.4,526.4,,-15.98555,-28.90662,55.17735,0.00002,,-0.15208,0.023,18.5,59.29,0.0205,0.0208,0.0215,60.36,40.5
BTC-28JUN24-49000-C,-,378.1,,58.19231,-30.90001,59.68137,0.00002,,0.82847,0.179,3.8,56.36,0.197,0.1992,0.2015,60.85,1
BTC-28JUN24-49000-P,2.8,239.8,,-18.07373,-30.90001,59.68137,0.00002,,-0.17153,0.024,27.6,58.49,0.0235,0.0239,0.0245,59.49,5.8
BTC-28JUN24-50000-C,0.1,1954,,57.38935,-33.04611,64.30706,0.00002,,0.80671,0.1815,1,57.12,0.185,0.1861,0.188,59.89,1
BTC-28JUN24-50000-P,41,581.6,,-20.43314,-33.04611,64.30706,0.00002,,-0.19329,0.0265,18.4,58.32,0.0275,0.0277,0.0285,59.24,59.6
BTC-28JUN24-51000-C,-,197.7,,56.442,-35.02061,68.75644,0.00002,,0.7837,0.2405,3.6,56.04,0.1715,0.1734,0.1755,59.51,1
BTC-28JUN24-51000-P,13.8,236.7,,-22.93693,-35.02061,68.75644,0.00002,,-0.2163,0.032,19.4,57.75,0.0315,0.0317,0.0325,58.62,62.6
BTC-28JUN24-52000-C,11.3,372.4,,55.3169,-36.87757,73.02739,0.00002,,0.75922,0.1475,1,56.34,0.16,0.1611,0.163,58.77,1
BTC-28JUN24-52000-P,45.5,261.6,,-25.61848,-36.87757,73.02739,0.00002,,-0.24078,0.0365,18.8,57.27,0.036,0.0362,0.037,58.08,27.1
BTC-28JUN24-53000-C,10,109.5,,53.99797,-38.64236,77.07314,0.00002,,0.73318,0.1365,4,56.19,0.1485,0.1493,0.152,58.89,16.3
BTC-28JUN24-53000-P,16.1,414.6,,-28.49387,-38.64236,77.07314,0.00002,,-0.26682,0.0415,20.1,56.82,0.041,0.0413,0.042,57.59,15
BTC-28JUN24-54000-C,5,291.3,,52.50207,-40.27501,80.80645,0.00003,,0.70581,0.127,3.4,55.31,0.1365,0.1381,0.1405,58.25,2.4
BTC-28JUN24-54000-P,4.5,345.5,,-31.54622,-40.27501,80.80645,0.00003,,-0.29419,0.0475,25,56.41,0.0465,0.0469,0.0475,57.14,8
BTC-28JUN24-55000-C,13.4,2844.3,,50.85846,-41.71164,84.1448,0.00003,,0.67736,0.115,15.3,55.54,0.1265,0.1274,0.129,57.3,13.9
BTC-28JUN24-55000-P,47.1,1184.4,,-34.74627,-41.71164,84.1448,0.00003,,-0.32264,0.0535,13,56.01,0.0525,0.0531,0.054,57.07,24.4
BTC-28JUN24-56000-C,43.2,196.7,,49.05785,-43.01892,87.04278,0.00003,,0.64792,0.1175,5.9,55.38,0.1165,0.1174,0.1195,57.43,8
BTC-28JUN24-56000-P,10.8,338,,-38.10334,-43.01892,87.04278,0.00003,,-0.35208,0.0685,13.4,55.95,0.0595,0.0599,0.061,56.98,37.1
BTC-28JUN24-57000-C,5.7,325.1,,47.17295,-44.00506,89.42867,0.00003,,0.61798,0.1075,3.5,55.2,0.107,0.108,0.11,57.2,26.8
BTC-28JUN24-57000-P,6.8,337.2,,-41.54468,-44.00506,89.42867,0.00003,,-0.38202,0.0665,12.4,55.55,0.0665,0.0672,0.068,56.54,8
BTC-28JUN24-58000-C,10.8,234.4,,45.18698,-44.78936,91.28621,0.00003,,0.58758,0.096,5.5,55.33,0.0985,0.099,0.1005,56.64,4.1
BTC-28JUN24-58000-P,56.4,442,,-45.08711,-44.78936,91.28621,0.00003,,-0.41242,0.079,12.1,55.46,0.0745,0.0751,0.0755,56.11,15
BTC-28JUN24-60000-C,27.2,3435.3,,41.03238,-45.65063,93.34179,0.00003,,0.52658,0.075,5.9,55.22,0.0825,0.0829,0.0835,55.86,23.2
BTC-28JUN24-60000-P,93.8,1524.2,,-52.3546,-45.65063,93.34179,0.00003,,-0.47342,0.0925,9,54.93,0.0915,0.0927,0.094,56.52,21.9
BTC-28JUN24-64000-C,43.9,343.2,,32.64951,-44.76264,91.18956,0.00003,,0.41058,0.057,21.1,55.34,0.057,0.0575,0.0585,56.32,13.3
BTC-28JUN24-64000-P,0.2,287.4,,-66.96327,-44.76264,91.18956,0.00003,,-0.58942,0.148,1,54.53,0.1325,0.1347,0.137,57.46,1.8
BTC-28JUN24-65000-C,81.8,3390.4,,30.65794,-44.0951,89.56619,0.00003,,0.384,0.0475,14.5,55.54,0.052,0.0525,0.053,56.2,8
BTC-28JUN24-65000-P,0.4,1472.2,,-70.5113,-44.0951,89.56619,0.00003,,-0.616,0.173,1,54.49,0.144,0.1465,0.149,57.81,1.8
BTC-28JUN24-70000-C,765,3351.9,,21.92591,-39.09652,77.60368,0.00002,,0.27048,0.0325,26.4,56.88,0.033,0.0334,0.034,57.64,33.1
BTC-28JUN24-70000-P,0.4,824.7,,-87.02558,-39.09652,77.60368,0.00002,,-0.72952,0.246,1,53.6,0.2065,0.2115,0.2175,61.99,48.6
BTC-28JUN24-75000-C,150.8,4970.1,,15.50458,-33.07513,63.52823,0.00002,,0.18949,0.0215,21.3,58.79,0.0215,0.0218,0.022,59.25,11
BTC-28JUN24-75000-P,1.1,219.7,,-101.22915,-33.07513,63.52823,0.00002,,-0.81051,0.3255,48.6,54.05,0.2785,0.2841,0.2905,65.22,48.6
BTC-28JUN24-80000-C,158.7,2592.1,,11.17955,-27.78567,51.16148,0.00002,,0.13596,0.0145,44.8,60.98,0.0145,0.0151,0.0155,62.15,24.2
BTC-28JUN24-80000-P,-,116.1,,-113.33643,-27.78567,51.16148,0.00002,,-0.86404,0.3277,18.1,56,0.3565,0.3615,0.368,69.15,18
BTC-28JUN24-85000-C,44.8,2937.5,,8.31027,-23.53007,41.4033,0.00001,,0.10083,0.0084,16.1,63.84,0.0105,0.011,0.0115,65.28,66.5
BTC-28JUN24-85000-P,0.1,8.1,,-123.98796,-23.53007,41.4033,0.00001,,-0.89917,0.477,48.6,56.19,0.436,0.4416,0.4485,73.98,48.6
BTC-28JUN24-90000-C,105.5,2948.6,,6.26644,-19.80015,33.49571,0.00001,,0.0759,0.007,84.1,65.97,0.0075,0.0081,0.0085,67.76,38
BTC-28JUN24-90000-P,38,118.1,,-133.81404,-19.80015,33.49571,0.00001,,-0.9241,0.532,12.5,61.54,0.5195,0.5229,0.5265,73.77,15.4
BTC-28JUN24-95000-C,5.8,1248.3,,4.85943,-16.89696,27.4988,0.00001,,0.05881,0.0049,13.4,69.19,0.006,0.0063,0.0065,70.28,14
BTC-28JUN24-95000-P,-,3,,-143.0033,-16.89696,27.4988,0.00001,,-0.94119,0.366,48.6,49.76,0.599,0.6052,0.613,83.97,48.6
BTC-28JUN24-100000-C,427.5,3008.3,,3.90502,-14.78698,23.12665,0.00001,,0.04728,0.005,4.8,71.68,0.0047,0.0051,0.0055,73.73,53.3
BTC-28JUN24-100000-P,0.8,15.6,,-151.73996,-14.78698,23.12665,0.00001,,-0.95272,0.729,48.6,-,0.6815,0.6881,0.696,88.72,48.6
BTC-28JUN24-105000-C,2.9,1577.3,,3.07663,-12.52256,19.05192,-,,0.03721,0.0035,11,73.87,0.0037,0.0039,0.0042,75.43,4.8
BTC-28JUN24-105000-P,-,-,,-160.35059,-12.52256,19.05192,-,,-0.96279,1.379,48.6,-,0.7645,0.7712,0.7795,93.63,48.6
BTC-28JUN24-110000-C,1.1,1014.8,,2.49717,-10.85514,16.04328,-,,0.0302,0.0028,4.8,76.1,0.003,0.0032,0.0034,77.58,4
BTC-28JUN24-110000-P,-,4.6,,-168.7123,-10.85514,16.04328,-,,-0.9698,0.719,48.6,-,0.8475,0.8546,0.8635,98.92,48.6
BTC-28JUN24-115000-C,3.5,796.2,,2.04606,-9.43508,13.58564,-,,0.02474,0.0024,13.9,77.9,0.0024,0.0026,0.0028,79.66,4
BTC-28JUN24-115000-P,-,-,,-176.94566,-9.43508,13.58564,-,,-0.97526,1.591,48.6,-,0.931,0.9381,0.9475,103.85,48.6
BTC-28JUN24-120000-C,4.7,1676.5,,1.71175,-8.33246,11.69157,-,,0.0207,0.002,6.6,79.92,0.002,0.0022,0.0024,81.96,4
BTC-28JUN24-120000-P,-,5.3,,-185.06222,-8.33246,11.69157,-,,-0.9793,0.8,48.6,-,1.0145,1.0219,1.032,109.35,48.6
BTC-28JUN24-140000-C,7.7,932.7,,0.87642,-5.07309,6.57572,-,,0.0106,0.0008,18.2,86.46,0.001,0.0011,0.0013,89.14,4.7
BTC-28JUN24-140000-P,-,0.5,,-217.02655,-5.07309,6.57572,-,,-0.9894,0.887,48.6,-,1.349,1.3574,1.369,127.36,48.6
BTC-28JUN24-160000-C,-,1067.3,,0.49109,-3.23383,3.95124,-,,0.00594,0.0007,12.3,90.85,0.0005,0.0006,0.0008,95.32,4.8
BTC-28JUN24-160000-P,-,-,,-248.54087,-3.23383,3.95124,-,,-0.99406,-,48.6,-,1.6835,1.6935,1.707,144.45,48.6
BTC-28JUN24-200000-C,-,508.9,,0.17634,-1.39382,1.57397,-,,0.00213,0.0001,4.5,94.38,0.0001,0.0002,0.0005,108.07,2
BTC-28JUN24-200000-P,-,-,,-311.11361,-1.39382,1.57397,-,,-0.99787,-,48.6,-,2.353,2.3663,2.384,174.88,48.6
