Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-27SEP24-23000-C,-,0.8,,89.97181,-2.75847,11.0485,-,,0.98912,0.7025,3.6,-,0.6195,0.6219,0.624,82.68,3.6
BTC-27SEP24-23000-P,-,163.1,,-3.16856,-2.75847,11.0485,-,,-0.01088,0.0042,11,71.79,0.0017,0.002,0.0025,76.13,2.2
BTC-27SEP24-24000-C,-,0.5,,93.49351,-3.09764,12.63171,-,,0.9873,0.264,3.5,-,0.603,0.6057,0.608,81.09,3.5
BTC-27SEP24-24000-P,-,156.8,,-3.69644,-3.09764,12.63171,-,,-0.0127,0.0048,0.1,73.03,0.0025,0.0024,0.0028,74.38,2.2
BTC-27SEP24-25000-C,-,26,,96.69854,-3.66871,15.04029,-,,0.98445,0.6708,3.3,49.19,0.587,0.5898,0.592,79.42,3.3
BTC-27SEP24-25000-P,4,231.3,,-4.54099,-3.66871,15.04029,-,,-0.01555,0.0029,1.5,71.78,0.0029,0.003,0.0031,72.58,8.8
BTC-27SEP24-26000-C,-,5.3,,100.34146,-3.84301,16.23802,-,,0.983,0.6582,3.2,55.8,0.571,0.5735,0.576,77.68,3.2
BTC-27SEP24-26000-P,1,132.4,,-4.94766,-3.84301,16.23802,-,,-0.017,0.0039,11,68.47,0.0028,0.0032,0.0036,71.45,6.7
BTC-27SEP24-27000-C,-,12.6,,103.56359,-4.32104,18.5106,-,,0.98017,0.624,3,53.72,0.5545,0.5575,0.56,75.89,3
BTC-27SEP24-27000-P,-,60.4,,-5.77511,-4.32104,18.5106,-,,-0.01983,0.0044,4,67.88,0.0034,0.0037,0.0041,70.16,3.5
BTC-27SEP24-28000-C,0.9,31.2,,106.69345,-4.82534,20.95984,-,,0.97703,0.537,2.9,58.31,0.539,0.5416,0.544,74.06,2.9
BTC-27SEP24-28000-P,-,107,,-6.69483,-4.82534,20.95984,-,,-0.02297,0.005,6.7,67.02,0.004,0.0044,0.0048,69.32,5.9
BTC-27SEP24-29000-C,1.7,15.5,,109.6538,-5.4063,23.75639,-,,0.97333,0.513,2.9,58.25,0.523,0.5258,0.528,72.22,2.9
BTC-27SEP24-29000-P,-,161.6,,-7.78406,-5.4063,23.75639,-,,-0.02667,0.005,4,66.24,0.0047,0.0051,0.0055,68.28,2
BTC-27SEP24-30000-C,1.3,61.5,,112.24736,-6.19182,27.31419,-,,0.96845,0.497,2.7,57.79,0.507,0.5103,0.5125,71.32,2.7
BTC-27SEP24-30000-P,11,257.7,,-9.24008,-6.19182,27.31419,-,,-0.03155,0.0065,1.5,66.65,0.006,0.0062,0.0065,67.75,21.9
BTC-27SEP24-31000-C,2,27.8,,115.14358,-6.70441,30.0965,-,,0.96451,0.4855,2.6,58.52,0.4915,0.4946,0.497,70.26,2.6
BTC-27SEP24-31000-P,-,147.1,,-10.39344,-6.70441,30.0965,-,,-0.03549,0.008,4,64.99,0.0065,0.0069,0.0075,66.99,21.3
BTC-27SEP24-32000-C,-,44.4,,117.74753,-7.35675,33.43887,-,,0.95962,0.584,2.6,58.66,0.476,0.4791,0.4815,69.07,2.6
BTC-27SEP24-32000-P,2.3,97,,-11.83908,-7.35675,33.43887,-,,-0.04038,0.0095,6.1,64.24,0.0075,0.0079,0.0085,66.04,19.1
BTC-27SEP24-33000-C,-,42,,120.00129,-8.16923,37.39848,-,,0.95362,0.572,2.4,59.41,0.461,0.4639,0.4665,68.51,2.4
BTC-27SEP24-33000-P,0.2,159.9,,-13.63489,-8.16923,37.39848,-,,-0.04638,0.0105,10.6,63.32,0.0085,0.0093,0.01,65.75,22.1
BTC-27SEP24-34000-C,-,96,,122.23638,-8.9174,41.26708,-,,0.94753,0.54,14.5,58.76,0.4455,0.4486,0.451,67.09,2.4
BTC-27SEP24-34000-P,-,64.6,,-15.44939,-8.9174,41.26708,-,,-0.05247,0.0135,7.3,63.02,0.01,0.0106,0.0115,65.21,24.3
BTC-27SEP24-35000-C,-,641.5,,124.21437,-9.74563,45.49393,-,,0.94063,0.5,3.3,58.71,0.4305,0.4337,0.4365,66.84,2.3
BTC-27SEP24-35000-P,0.6,180,,-17.52098,-9.74563,45.49393,-,,-0.05937,0.013,7.7,62.48,0.0115,0.0121,0.013,64.47,30.5
BTC-27SEP24-36000-C,-,35.2,,126.07184,-10.56163,49.7955,0.00001,,0.93333,0.487,3.1,59.05,0.416,0.4188,0.4215,65.79,2.1
BTC-27SEP24-36000-P,0.5,43.1,,-19.71309,-10.56163,49.7955,0.00001,,-0.06667,0.014,4,62.37,0.0135,0.0138,0.0145,63.57,13.6
BTC-27SEP24-37000-C,-,70.2,,127.59791,-11.48175,54.50841,0.00001,,0.925,0.487,3.1,59.03,0.4015,0.4042,0.407,65.17,2.1
BTC-27SEP24-37000-P,-,41.7,,-22.2366,-11.48175,54.50841,0.00001,,-0.075,0.0205,11.2,61.43,0.015,0.0158,0.0165,63.1,13.1
BTC-27SEP24-38000-C,-,34.3,,128.83897,-12.4671,59.49548,0.00001,,0.91581,0.4415,15.2,58.73,0.387,0.39,0.393,64.86,2.1
BTC-27SEP24-38000-P,0.3,94.3,,-25.04677,-12.46754,59.49804,0.00001,,-0.0842,0.0225,6,61.42,0.0175,0.018,0.019,62.94,26.2
BTC-27SEP24-39000-C,-,35.8,,129.90743,-13.44403,64.54182,0.00001,,0.90607,0.4,3.1,58.73,0.373,0.3759,0.3785,63.92,2.1
BTC-27SEP24-39000-P,0.1,290.3,,-28.02625,-13.44403,64.54182,0.00001,,-0.09393,0.025,4,61.16,0.02,0.0205,0.0215,62.56,24.8
BTC-27SEP24-40000-C,-,795.3,,130.81054,-14.40435,69.61812,0.00001,,0.89583,0.351,2.9,58.47,0.359,0.362,0.365,63.7,1.9
BTC-27SEP24-40000-P,-,450.3,,-31.17272,-14.40435,69.61812,0.00001,,-0.10417,0.028,6,60.69,0.0225,0.0231,0.024,61.99,13.4
BTC-27SEP24-41000-C,-,55.9,,131.41388,-15.41375,74.87908,0.00001,,0.88471,0.3725,2.9,58.43,0.3455,0.3484,0.351,62.89,1
BTC-27SEP24-41000-P,-,58.9,,-34.61896,-15.41375,74.87908,0.00001,,-0.11529,0.0315,5,60.46,0.0255,0.026,0.027,61.67,15
BTC-27SEP24-42000-C,-,24.1,,131.78825,-16.4268,80.18879,0.00001,,0.87292,0.3595,1,58.95,0.333,0.335,0.3375,62.34,1
BTC-27SEP24-42000-P,-,35.5,,-38.29417,-16.4268,80.18879,0.00001,,-0.12708,0.0285,5,60.04,0.0285,0.0292,0.0305,61.54,36.7
BTC-27SEP24-43000-C,-,26.6,,131.93631,-17.43637,85.51221,0.00001,,0.86047,0.347,1,58.8,0.32,0.322,0.3245,61.98,1
BTC-27SEP24-43000-P,-,38,,-42.1957,-17.43637,85.51221,0.00001,,-0.13953,0.04,5,59.81,0.032,0.0327,0.034,61.22,33.7
BTC-27SEP24-44000-C,-,329.5,,131.85261,-18.44025,90.82398,0.00001,,0.84738,0.456,2.7,58.13,0.3065,0.3092,0.312,61.79,1
BTC-27SEP24-44000-P,-,39.6,,-46.32897,-18.44025,90.82398,0.00001,,-0.15262,0.043,8.2,59.39,0.0355,0.0365,0.0375,60.72,1.6
BTC-27SEP24-45000-C,-,219.1,,131.49522,-19.45576,96.13106,0.00001,,0.83355,0.2875,1,58.6,0.295,0.2969,0.2995,61.43,1
BTC-27SEP24-45000-P,5,79.1,,-50.73594,-19.45576,96.13106,0.00001,,-0.16645,0.0465,6,59.45,0.04,0.0406,0.0415,60.4,2.1
BTC-27SEP24-46000-C,-,37.4,,130.94682,-20.43696,101.32188,0.00001,,0.81921,0.331,1.7,58.22,0.2825,0.2848,0.2875,61.21,1
BTC-27SEP24-46000-P,29,66.7,,-55.33392,-20.43696,101.32188,0.00001,,-0.18079,0.053,7.5,59.02,0.044,0.045,0.046,60.21,2.7
BTC-27SEP24-47000-C,-,110.4,,130.16032,-21.40599,106.41115,0.00001,,0.80427,0.341,1.7,57.98,0.2705,0.273,0.276,61.1,1
BTC-27SEP24-47000-P,-,36.8,,-60.17,-21.40599,106.41115,0.00001,,-0.19573,0.06,7.5,59.01,0.049,0.0498,0.051,60.14,3
BTC-27SEP24-48000-C,-,44,,129.27305,-22.28979,111.27427,0.00001,,0.78905,0.354,1.5,58.12,0.2595,0.2614,0.2645,60.84,1
BTC-27SEP24-48000-P,5,424.7,,-65.10686,-22.28979,111.27427,0.00001,,-0.21095,0.064,7.4,58.81,0.054,0.0548,0.0555,59.63,6
BTC-27SEP24-49000-C,-,24.2,,128.02851,-23.22298,116.06305,0.00001,,0.77302,0.328,1.5,58.07,0.2485,0.2505,0.2535,60.68,1
BTC-27SEP24-49000-P,1.6,68.3,,-70.40098,-23.22298,116.06305,0.00001,,-0.22698,0.0695,8.4,58.73,0.0595,0.0603,0.061,59.51,1.7
BTC-27SEP24-50000-C,0.1,854.8,,126.5868,-24.12441,120.63422,0.00001,,0.75658,0.2275,1.5,58.11,0.238,0.2399,0.2425,60.37,1
BTC-27SEP24-50000-P,19.1,493.3,,-75.89227,-24.12441,120.63422,0.00001,,-0.24342,0.077,16.4,58.48,0.065,0.0663,0.067,59.48,2.2
BTC-27SEP24-51000-C,-,152.8,,124.97356,-24.98361,124.95407,0.00001,,0.7398,0.3105,1.5,57.99,0.2275,0.2298,0.233,60.65,12.7
BTC-27SEP24-51000-P,1.5,82.2,,-81.5551,-24.98361,124.95407,0.00001,,-0.2602,0.084,8.4,58.57,0.0715,0.0727,0.074,59.78,3.8
BTC-27SEP24-52000-C,1.2,24.4,,123.22184,-25.78588,128.9943,0.00001,,0.72279,0.21,1.5,57.94,0.2175,0.2199,0.223,60.52,1.5
BTC-27SEP24-52000-P,6.3,193.1,,-87.35639,-25.78588,128.9943,0.00001,,-0.27721,0.0875,8.4,58.49,0.078,0.0793,0.081,59.9,6
BTC-27SEP24-53000-C,-,36,,121.3601,-26.518,132.73773,0.00002,,0.70561,0.2895,1.4,57.98,0.208,0.2103,0.2135,60.49,1.4
BTC-27SEP24-53000-P,7,287.1,,-93.26772,-26.518,132.73773,0.00002,,-0.29439,0.091,1.3,58.5,0.085,0.0863,0.088,59.87,6.1
BTC-27SEP24-54000-C,-,34.1,,119.40147,-27.17471,136.17799,0.00002,,0.68829,0.1915,1.3,58.09,0.199,0.201,0.204,60.31,11.1
BTC-27SEP24-54000-P,2.6,86.4,,-99.27593,-27.17471,136.17799,0.00002,,-0.31171,0.093,9.3,58.36,0.092,0.0935,0.095,59.7,5.2
BTC-27SEP24-55000-C,0.8,391,,117.30431,-27.78958,139.3175,0.00002,,0.67081,0.182,1.3,58.05,0.19,0.1921,0.195,60.22,13.8
BTC-27SEP24-55000-P,55.1,470.6,,-105.42267,-27.78958,139.3175,0.00002,,-0.32919,0.1221,16.3,58.31,0.0995,0.1011,0.103,59.83,6.1
BTC-27SEP24-56000-C,0.1,64.6,,115.09233,-28.35717,142.14321,0.00002,,0.65326,0.1735,1.3,58.09,0.1815,0.1835,0.1865,60.21,5
BTC-27SEP24-56000-P,0.8,64.9,,-111.68423,-28.35717,142.14321,0.00002,,-0.34674,0.114,9.3,58.33,0.1075,0.1091,0.1105,59.6,4.6
BTC-27SEP24-57000-C,0.1,119.5,,112.80081,-28.86091,144.64892,0.00002,,0.6357,0.19,1.3,58.2,0.1735,0.1753,0.178,60.08,11.9
BTC-27SEP24-57000-P,0.1,99.5,,-118.02533,-28.86091,144.64892,0.00002,,-0.3643,0.135,9.3,58.42,0.116,0.1174,0.119,59.68,4.9
BTC-27SEP24-58000-C,-,116.2,,110.42663,-29.31514,146.83348,0.00002,,0.61817,0.16,1.3,58.18,0.1655,0.1675,0.1705,60.24,16.3
BTC-27SEP24-58000-P,2.7,43.8,,-124.44909,-29.31514,146.83348,0.00002,,-0.38183,0.1265,9.3,58.39,0.1245,0.1261,0.128,59.83,5.5
BTC-27SEP24-59000-C,4,135.4,,108.00651,-29.69633,148.70143,0.00002,,0.60072,0.157,1.2,58.24,0.158,0.1599,0.163,60.27,5.2
BTC-27SEP24-59000-P,0.2,60.7,,-130.9188,-29.69633,148.70143,0.00002,,-0.39928,0.1535,8,58.44,0.1335,0.135,0.1375,60.06,6.4
BTC-27SEP24-60000-C,3.4,744.3,,105.53011,-30.02871,150.2546,0.00002,,0.5834,0.153,1.2,58.38,0.151,0.1527,0.1555,60.19,1.2
BTC-27SEP24-60000-P,101.3,545.4,,-137.44478,-30.02871,150.2546,0.00002,,-0.4166,0.163,8,58.56,0.143,0.1443,0.146,59.77,4
BTC-27SEP24-62000-C,0.6,318.1,,100.5131,-30.45881,152.46277,0.00002,,0.54908,0.1295,8.2,58.5,0.1375,0.1389,0.14,59.49,9
BTC-27SEP24-62000-P,0.9,120.2,,-150.56639,-30.45832,152.46061,0.00002,,-0.45094,0.1625,8,58.47,0.162,0.1636,0.1665,60.25,9.6
BTC-27SEP24-65000-C,79.2,1412.3,,92.82216,-30.83672,153.62685,0.00002,,0.49976,0.112,0.5,58.95,0.12,0.1209,0.123,60.14,10.6
BTC-27SEP24-65000-P,3.1,405.7,,-170.40611,-30.83601,153.62359,0.00002,,-0.50026,0.229,8,58.7,0.1935,0.1952,0.1985,60.66,15.6
BTC-27SEP24-70000-C,33.2,834.5,,80.34788,-30.57136,150.83646,0.00002,,0.42412,0.0905,0.9,59.62,0.0955,0.0962,0.098,60.62,9.6
BTC-27SEP24-70000-P,1.1,184.3,,-203.12282,-30.57136,150.83646,0.00002,,-0.57588,0.2105,12,58.7,0.25,0.2531,0.257,61.51,12
BTC-27SEP24-75000-C,177.7,960.2,,68.9279,-29.52441,143.83878,0.00002,,0.35838,0.072,1.2,60.22,0.076,0.0771,0.0785,61.27,8
BTC-27SEP24-75000-P,0.9,145,,-234.7907,-29.52441,143.83878,0.00002,,-0.64162,0.359,22.5,57.07,0.308,0.3166,0.3245,64.02,19.2
BTC-27SEP24-80000-C,200.5,933.3,,58.95534,-28.0466,134.50415,0.00001,,0.30307,0.0575,1.2,61.2,0.0615,0.0625,0.064,62.32,17.5
BTC-27SEP24-80000-P,-,42.9,,-265.01117,-28.0466,134.50415,0.00001,,-0.69693,0.4115,20,57.04,0.3745,0.3847,0.3935,65.62,19.7
BTC-27SEP24-85000-C,73.9,542.9,,50.3426,-26.24025,124.00096,0.00001,,0.25638,0.0465,1.9,62.1,0.05,0.0509,0.0525,63.31,24.2
BTC-27SEP24-85000-P,-,9.8,,-293.87182,-26.24025,124.00096,0.00001,,-0.74362,0.3545,22.8,58.5,0.4475,0.4558,0.464,66.56,22.7
BTC-27SEP24-90000-C,660.7,1050.5,,43.10372,-24.38053,113.39776,0.00001,,0.21792,0.039,1.8,63.28,0.0415,0.042,0.043,64.08,5
BTC-27SEP24-90000-P,-,7.7,,-321.35861,-24.38053,113.39776,0.00001,,-0.78208,0.5675,16.9,59.81,0.5225,0.5295,0.54,69.05,17.1
BTC-27SEP24-95000-C,19.2,480.1,,37.01757,-22.5225,103.14478,0.00001,,0.18603,0.031,1.3,64.27,0.0345,0.035,0.036,65.15,14.6
BTC-27SEP24-95000-P,-,1.3,,-347.69266,-22.5225,103.14478,0.00001,,-0.81397,0.645,22.2,60.01,0.5975,0.6051,0.616,70.74,22.5
BTC-27SEP24-100000-C,79.8,2202.7,,31.96125,-20.77336,93.64188,0.00001,,0.15986,0.0274,1.8,65.3,0.029,0.0294,0.0305,66.26,14.8
BTC-27SEP24-100000-P,0.3,12.5,,-372.99689,-20.77336,93.64188,0.00001,,-0.84014,0.7235,23,60.44,0.6745,0.6822,0.693,72.24,23.4
BTC-27SEP24-105000-C,1.7,201.7,,27.74374,-19.14536,84.97194,0.00001,,0.13823,0.023,2.1,66.24,0.0245,0.025,0.026,67.3,15.9
BTC-27SEP24-105000-P,0.2,1,,-397.46231,-19.14536,84.97194,0.00001,,-0.86177,0.807,20.2,61.08,0.753,0.7604,0.7715,74.01,19.9
BTC-27SEP24-110000-C,541.8,669.8,,24.23908,-17.66962,77.21291,0.00001,,0.1204,0.02,4.9,66.87,0.0205,0.0215,0.0225,68.44,16
BTC-27SEP24-110000-P,-,2.7,,-421.21488,-17.66962,77.21291,0.00001,,-0.8796,0.615,22.3,60.87,0.8315,0.8395,0.8505,75.59,22
BTC-27SEP24-115000-C,0.2,441.6,,21.34853,-16.3716,70.40815,0.00001,,0.1058,0.019,3.9,68.15,0.018,0.0187,0.0195,69.43,16
BTC-27SEP24-115000-P,-,22.1,,-444.35333,-16.3716,70.40815,0.00001,,-0.8942,0.55,14.8,61.31,0.9115,0.9193,0.9305,77.41,15.1
BTC-27SEP24-120000-C,-,623,,18.83987,-15.12807,64.15315,0.00001,,0.09316,0.015,4.3,68.97,0.0155,0.0163,0.017,70.38,4
BTC-27SEP24-120000-P,-,0.2,,-467.1099,-15.12807,64.15315,0.00001,,-0.90684,0.666,15.2,62.31,0.9925,0.9996,1.0115,79.6,15.7
BTC-27SEP24-125000-C,-,163.4,,16.75004,-14.03922,58.69274,0.00001,,0.08269,0.0135,14.7,69.84,0.0135,0.0143,0.015,71.39,4
BTC-27SEP24-125000-P,-,-,,-489.44764,-14.03922,58.69274,0.00001,,-0.91731,1.828,18.8,60.53,1.072,1.0803,1.092,81.15,18.8
BTC-27SEP24-130000-C,-,355.5,,14.98717,-13.0737,53.89201,0.00001,,0.07389,0.015,14.7,70.88,0.012,0.0127,0.0135,72.57,4
BTC-27SEP24-130000-P,-,0.1,,-511.45842,-13.0737,53.89201,0.00001,,-0.92611,1.79,18.1,61.03,1.1535,1.1613,1.1735,83.21,17.7
BTC-27SEP24-140000-C,4.1,922.4,,12.18784,-11.4265,45.85594,-,,0.05997,0.0082,14.8,72.67,0.0095,0.0102,0.011,74.65,6
BTC-27SEP24-140000-P,-,-,,-554.75357,-11.4265,45.85594,-,,-0.94003,2.021,1,-,0.0001,1.3241,-,-,-
BTC-27SEP24-160000-C,16,731.3,,8.48872,-8.96928,34.31319,-,,0.04168,0.007,21,76.29,0.0065,0.007,0.0075,78.06,6
BTC-27SEP24-160000-P,-,-,,-639.44431,-8.96928,34.31319,-,,-0.95832,2.51,-,-,-,1.6515,-,-,-
BTC-27SEP24-180000-C,7.3,281.8,,6.19282,-7.19734,26.46967,-,,0.03037,0.0045,11,79.44,0.0047,0.0051,0.0055,81.28,9
BTC-27SEP24-180000-P,-,-,,-722.73184,-7.19734,26.46967,-,,-0.96963,2.96,-,-,-,1.9801,-,-,-
BTC-27SEP24-200000-C,2,186.6,,4.92888,-6.21589,21.91361,-,,0.02422,0.0035,2,82.7,0.0037,0.0041,0.0046,85.17,7.9
BTC-27SEP24-200000-P,-,-,,-804.98741,-6.21589,21.91361,-,,-0.97578,-,-,-,-,2.3096,-,-,-
BTC-27SEP24-240000-C,-,147.1,,3.06074,-4.36252,14.59775,-,,0.01502,0.003,7.6,85.98,0.002,0.0025,0.0033,91.26,19.9
BTC-27SEP24-240000-P,-,-,,-968.8388,-4.36252,14.59775,-,,-0.98498,-,-,-,-,2.9691,-,-,-
